number,layer-id,visibility,z-index
1,background,visible,0
2,行政区画,visible,0
3,水域,visible,0
4,地形表記面,visible,0
5,海岸線,visible,0
6,河川中心線人工水路地下,visible,0
7,河川中心線枯れ川部,visible,0
8,河川中心線,visible,0
9,海岸線堤防等に接する部分破線,visible,0
10,水涯線,visible,0
11,水涯線堤防等に接する部分破線,visible,0
12,水部表記線polygon,visible,0
13,水部表記線line,visible,0
14,水部表記線point,visible,0
15,行政区画界線25000所属界（所属を明示する境界線）,visible,0
16,行政区画界線25000市区町村界,visible,0
17,行政区画界線25000都府県界及び北海道総合振興局・振興局界,visible,0
18,行政区画界線地方界,visible,0
19,行政区画界線国の所属界,visible,0
20,等高線,visible,0
21,等高線数値部,visible,0
22,等深線,visible,0
23,等深線数値部,visible,0
24,地形表記線,visible,0
25,水部構造物面,visible,0
26,水部構造物線,visible,0
27,道路中心線ZL4-10国道,visible,0
28,鉄道中心線ZL4-10,visible,0
29,道路中心線ZL4-10高速,visible,0
30,道路中心線ククリ0,visible,0
31,道路中心線色0,visible,0
32,鉄道中心線駅ククリ0,visible,0
33,鉄道中心線0,visible,0
34,鉄道中心線旗竿0,visible,0
35,道路中心線ククリ橋0,visible,0
36,道路中心線色橋0,visible,0
37,建築物0,none,0
38,建築物の外周線0,visible,0
39,鉄道中心線橋ククリ黒0,visible,0
40,鉄道中心線橋ククリ白0,visible,0
41,鉄道中心線橋駅ククリ0,visible,0
42,鉄道中心線橋0,visible,0
43,鉄道中心線旗竿橋0,visible,0
44,道路中心線ククリ1,visible,0
45,道路中心線色1,visible,0
46,鉄道中心線駅ククリ1,visible,0
47,鉄道中心線1,visible,0
48,鉄道中心線旗竿1,visible,0
49,道路中心線ククリ橋1,visible,0
50,道路中心線色橋1,visible,0
51,鉄道中心線橋ククリ黒1,visible,0
52,鉄道中心線橋ククリ白1,visible,0
53,鉄道中心線橋駅ククリ1,visible,0
54,鉄道中心線橋1,visible,0
55,鉄道中心線旗竿橋1,visible,0
56,建築物1,none,0
57,建築物の外周線1,visible,0
58,道路中心線ククリ2,visible,0
59,道路中心線色2,visible,0
60,鉄道中心線駅ククリ2,visible,0
61,鉄道中心線2,visible,0
62,鉄道中心線旗竿2,visible,0
63,道路中心線ククリ橋2,visible,0
64,道路中心線色橋2,visible,0
65,鉄道中心線橋ククリ黒2,visible,0
66,鉄道中心線橋ククリ白2,visible,0
67,鉄道中心線橋駅ククリ2,visible,0
68,鉄道中心線橋2,visible,0
69,鉄道中心線旗竿橋2,visible,0
70,建築物2,none,0
71,建築物の外周線2,visible,0
72,道路中心線ククリ3,visible,0
73,道路中心線色3,visible,0
74,鉄道中心線駅ククリ3,visible,0
75,鉄道中心線3,visible,0
76,鉄道中心線旗竿3,visible,0
77,道路中心線ククリ橋3,visible,0
78,道路中心線色橋3,visible,0
79,鉄道中心線橋ククリ黒3,visible,0
80,鉄道中心線橋ククリ白3,visible,0
81,鉄道中心線橋駅ククリ3,visible,0
82,鉄道中心線橋3,visible,0
83,鉄道中心線旗竿橋3,visible,0
84,建築物3,none,0
85,建築物の外周線3,visible,0
86,道路中心線ククリ4,visible,0
87,道路中心線色4,visible,0
88,鉄道中心線駅ククリ4,visible,0
89,鉄道中心線4,visible,0
90,鉄道中心線旗竿4,visible,0
91,道路中心線ククリ橋4,visible,0
92,道路中心線色橋4,visible,0
93,鉄道中心線橋ククリ黒4,visible,0
94,鉄道中心線橋ククリ白4,visible,0
95,鉄道中心線橋駅ククリ4,visible,0
96,鉄道中心線橋4,visible,0
97,鉄道中心線旗竿橋4,visible,0
98,建築物4,none,0
99,建築物の外周線4,visible,0
100,道路中心線破線,visible,0
101,道路中心線階段,visible,0
102,鉄道中心線地下トンネルククリ,visible,0
103,鉄道中心線地下トンネル,visible,0
104,軌道の中心線トンネル,visible,0
105,道路縁,visible,0
106,道路構成線トンネル内の道路,visible,0
107,道路構成線分離帯,visible,0
108,軌道の中心線,visible,0
109,特定地区界,visible,0
110,構造物面,none,0
111,構造物面の外周線,none,0
112,構造物線,none,0
113,送電線,visible,0
114,送電線破線,visible,0
115,鉄道駅,visible,0
116,行政区画界線（強調）,none,0
117,建築物3D,visible,0
118,構造物面3D,visible,0
119,注記シンボル付き重なり,visible,0
120,注記道路番号,visible,0
121,注記シンボル付きソート順100以上,visible,0
122,注記シンボルなし縦ソート順100以上,visible,0
123,注記シンボルなし横ソート順100以上,visible,0
124,注記角度付き線,visible,0
125,注記シンボル付きソート順100未満,visible,0
126,注記シンボルなし縦ソート順100未満,visible,0
127,注記シンボルなし横ソート順100未満,visible,0
